word,category,mean Happiness,mean Anger,mean Sadness,mean Fear,mean Disgust,distance to H,distance to A,distance to S,distance to F,distance to D,distance to N
"zawdzięczać",U,3.9230769,1.8846154,2.0,1.8076923,1.3846154,4.0795007,6.7445927,6.6669674,6.8289213,7.192991,3.967269
trup,U,1.2307693,2.8846154,3.8846154,4.4615383,3.9230769,8.858786,7.9752316,7.182072,6.529108,6.9174504,6.3188987
"wywoływać",U,2.3076923,2.0769231,2.3461537,3.0,2.0,6.2747946,6.6576967,6.4066477,5.760623,6.661323,3.7674215
"rozszczepiać",U,1.8461539,2.0384614,2.1923077,3.2692308,2.8076923,6.9459357,6.958074,6.8456326,5.8167195,6.2612133,3.9383178
"słoń",U,4.6153846,1.2307693,1.4615384,2.1538463,1.1538461,3.3429303,7.342183,7.17662,6.519753,7.4096227,4.1630845
"imię",U,3.1538463,1.6538461,1.5769231,1.5384616,1.4230769,4.633623,6.7095227,6.7869654,6.8102894,6.917004,2.973293
"zarażać",U,1.2307693,4.1153846,3.7307692,5.076923,4.6923075,9.621946,7.802839,8.165414,6.910197,7.154525,7.4157963
"przedstawiać",U,3.2307692,1.6153846,1.5384616,2.7307692,1.4615384,5.0457077,6.9139485,6.9874983,5.909278,7.0545926,3.553725
"telefonować",U,2.8076923,2.1153846,1.8076923,2.5769231,1.6153846,5.4350214,6.383856,6.634374,5.8367605,6.7869525,3.4659421
sterowny,U,2.8846154,1.9230769,1.6538461,2.1153846,1.8461539,5.217351,6.778013,6.944297,6.5905633,6.7854075,3.5398958
intryga,U,1.7692307,4.0,3.0384614,3.9615386,3.1538463,8.090577,6.5691857,7.465792,6.6149087,7.3123064,5.864408
"wiedzieć",U,5.0384617,1.5769231,1.6153846,2.0384614,1.1923077,3.1232347,7.3118863,7.274415,6.912097,7.5938067,4.5155735
"wykładowca",U,3.0769231,2.4615386,1.8461539,2.8846154,1.6153846,5.4614215,6.3169336,6.8750668,5.898835,7.013153,3.9222093
liryka,U,4.076923,1.4230769,2.8076923,1.5384616,1.2692307,4.3823028,7.288039,6.056537,7.201461,7.362198,4.2535086
"wszechświat",U,4.3076925,1.2692307,1.7307693,3.0384614,1.1923077,4.2396445,7.630294,7.2708597,5.919836,7.685949,4.6105237
ponadczasowy,U,4.6923075,1.3076923,1.5384616,1.3076923,1.1538461,2.9897444,7.2358017,7.0459833,7.250436,7.3386087,4.102986
pomnik,U,3.0384614,1.6153846,2.3076923,1.6538461,1.3846154,4.924772,6.555543,5.8601665,6.5268917,6.7041225,3.0937502
"otaczać",U,3.6923077,1.6153846,1.6153846,2.4615386,1.5384616,4.548167,6.939389,6.9428854,6.0992384,6.98658,3.7354903
tabu,U,1.7692307,2.4230769,2.7307692,2.9230769,2.3846154,6.9579916,6.660822,6.3919597,6.03476,6.7432585,4.2840223
referat,U,2.9230769,2.5,2.2692308,3.6923077,2.3076923,6.2867427,6.845741,7.0771093,5.5971484,6.9899845,4.7382994
"miłość",U,6.1923075,2.0769231,2.5,2.8076923,1.2692307,3.2994356,8.371337,8.042562,7.78067,8.8559065,6.55929
"uzyskać",U,4.730769,1.5,1.1923077,1.9615384,1.2307693,3.1829093,7.1043057,7.363627,6.6710157,7.316625,4.182001
plagiat,U,1.0384616,4.8846154,3.4230769,3.4230769,3.9615386,9.216854,6.366206,7.6374807,7.601342,7.229485,6.5046687
"spotykać",U,4.1153846,1.3461539,1.3461539,2.0,1.1538461,3.6741335,6.9864025,6.985852,6.375391,7.1170506,3.642737
"zniesławiony",U,1.1923077,4.1538463,3.5384614,3.5384614,3.0769231,8.515953,6.1811757,6.814003,6.7898784,7.2301,5.6026454
"pisklę",U,3.6538463,1.2692307,1.5,1.6538461,1.9615384,4.0801272,7.1095243,6.915974,6.797831,6.430258,3.6892827
"tydzień",U,3.1538463,2.0769231,1.9230769,2.3076923,1.4230769,5.2125115,6.528053,6.657799,6.315768,7.0157275,3.3514712
"kładka",U,3.0769231,1.3846154,1.1923077,2.3846154,1.3846154,4.779147,6.677724,6.837797,5.706357,6.673922,2.8645053
"wydźwięk",U,2.6153846,1.8076923,1.6538461,1.8846154,1.3846154,5.2657614,6.2780046,6.4708247,6.20213,6.694186,2.5744448
"szczenię",U,4.576923,1.4230769,1.5384616,1.6538461,1.4615384,3.3070755,7.223534,7.1251063,7.042742,7.1677256,4.1351123
taktowny,U,4.230769,1.5,1.3461539,1.5384616,1.5,3.469484,7.017565,7.1710653,7.0089345,6.9830656,3.8898227
snob,U,1.2692307,3.9615386,3.0769231,2.5384614,3.5384614,8.186701,6.061948,6.9223833,7.5435305,6.523753,5.4530616
"pojmować",U,3.9615386,1.5384616,1.6538461,1.8076923,1.4615384,3.8996491,6.903989,6.810651,6.654653,6.958529,3.597165
"zadośćuczynić",U,3.5,1.6153846,2.3076923,2.1153846,1.5384616,4.7440825,6.9878306,6.3188143,6.5370355,7.0538645,3.8236148
zakup,U,4.3846154,1.8461539,1.5769231,2.0384614,1.3846154,3.8113406,6.9313154,7.1500096,6.797996,7.316091,4.256714
"studiować",U,4.423077,2.1538463,1.8846154,2.6538463,1.4615384,4.3023386,7.0419917,7.274827,6.6190677,7.5964637,4.73457
pilnik,U,1.7307693,1.7692307,1.4615384,2.4615386,2.3846154,6.4543867,6.609141,6.856599,5.96289,6.020597,2.8032155
kara,U,1.2692307,4.3846154,4.4615383,4.923077,3.4230769,9.453492,7.4862666,7.377724,6.856085,8.152881,7.1300864
"formować",U,2.2307692,1.8846154,1.6923077,2.1538463,1.6538461,5.7392883,6.1589465,6.391534,5.938107,6.3692966,2.6808093
"męka",U,1.0769231,3.5384614,4.6153846,4.3076925,3.4615386,9.165609,7.500872,6.550036,6.8778696,7.585742,6.587043
kamienica,U,2.6153846,1.4615384,2.0,1.9230769,1.6923077,5.188588,6.616593,6.102973,6.2020464,6.3964834,2.8927789
"paznokieć",U,2.0769231,1.7307693,1.6923077,2.0,2.3076923,6.1406994,6.621071,6.6712055,6.3941293,5.8360066,2.9720187
kaloryczny,U,2.9615386,2.5769231,2.4230769,2.6538463,2.0384614,5.864573,6.535899,6.696348,6.4535503,6.9137278,4.3125296
mapa,U,3.8461537,1.5,1.4615384,1.6923077,1.2307693,3.968254,6.8575635,6.8994465,6.690035,7.082411,3.3950133
pech,U,1.2692307,4.5,4.3461537,3.5769231,2.5769231,8.847944,6.536823,6.6801386,7.377148,8.137914,6.26624
awans,U,5.5,1.3846154,1.1538461,2.2307692,1.1923077,2.6926548,7.6320157,7.808504,6.9434257,7.7741528,4.961158
profesor,U,3.5,1.9230769,1.8846154,2.3076923,1.5,4.724563,6.6445675,6.6441813,6.2250934,6.9967294,3.7942274
"wydawać",U,3.0769231,2.6923077,2.8461537,2.8846154,2.0,6.119636,6.908453,6.7637734,6.7815375,7.470331,4.8546495
kompan,U,4.769231,1.4615384,1.5,1.5,1.1153846,2.9627624,7.177266,7.1223187,7.140203,7.413961,4.1648045
foka,U,3.7692308,1.2307693,1.5,1.3846154,1.5,3.780038,6.8584867,6.5914607,6.742447,6.5793185,3.3091772
podstawa,U,2.6923077,1.8461539,1.7307693,2.0384614,1.7307693,5.3397017,6.42738,6.5277104,6.2358775,6.4405804,2.9308126
kartoteka,U,1.4615384,2.4615386,2.2307692,3.5,2.6538463,7.484944,6.9201765,7.0980144,5.792054,6.791933,4.1591153
